hasIpAddress,hasAtSymbol,isLong,depth,hasPointInDomain,hasNumberInDomain,isShortened,urlLength,dashNbr,underlineNbr,questionMarkNbr,andNbr,pointNbr,domainLength,hasDnsRecord,webTraffic,domainAge,domainEnd,label
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,8,377.43,79.5,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,2,0.0,0.0,1
0,0,1,0,0,0,1,25,0,0,0,0,2,13,1,109,158.27,14.5,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1,377.4,85.1,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,40,0.0,4.17,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,29,280.0,69.5,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,57,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,58,267.83,5.53,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,78,328.67,25.07,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,59,0.0,5.17,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,11,0.0,16.27,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,43,328.7,10.63,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,132,0.0,0.0,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,79,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,97,353.1,16.27,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,182,170.47,4.8,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,93,499.13,107.37,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,71,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,64,292.13,6.4,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,50,206.97,19.2,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,129,292.17,8.33,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,151,0.0,0.0,1
0,0,1,0,0,0,1,25,0,0,0,0,2,13,1,21,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,265,0.0,0.0,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,134,304.33,2.13,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,195,0.0,9.03,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,2150,267.83,30.67,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,81,292.2,104.63,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,215,328.7,118.5,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1933,377.43,110.47,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,131,205.37,8.77,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,122,0.0,0.0,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,219,0.0,0.0,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,123,158.27,8.9,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,85,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,457,300.73,15.6,1
0,0,1,0,0,0,1,20,0,0,0,0,2,8,1,175,365.3,30.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,99,293.47,20.43,1
0,0,1,0,1,0,0,22,0,0,0,0,3,10,1,384,292.2,12.03,1
0,0,1,0,0,0,1,22,0,0,0,0,2,10,1,235,0.0,0.0,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,197,267.83,60.1,1
0,0,1,0,1,0,0,23,0,0,0,0,3,11,1,36,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,106,206.97,20.97,1
0,0,1,0,0,0,0,33,0,0,0,0,2,21,1,699,292.2,69.57,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,315,255.67,27.07,1
0,0,1,0,1,0,0,21,0,0,0,0,3,9,1,148,0.0,51.57,1
0,0,1,0,0,0,1,24,0,0,0,0,2,12,1,1330,365.23,52.47,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,332,0.0,19.63,1
0,0,1,0,0,0,1,25,0,0,0,0,2,13,1,319,426.1,115.3,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,233,194.8,12.4,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,5150,0.0,0.0,1
